,0\O 
0\O ,\O RT\Eng @\O asishkumar208\Eng :\O Thanks\Eng to\Hin=तू @\O karanjohar\Hin=करंजोहर chutiya\Hin=चुटिया that\Eng this\Eng #\O Zingaat\Hin=ज़िंगात is\Eng nothing\Eng but\Eng #\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 52S7P62VW6\Eng 
1\O ,\O Sairat\Eng actors\Eng to\Eng Dhadak\Hin=धड़क actors\Eng .\O #\O ZingaatRuined\Eng 😂😂\O https\Eng ://\O t\Eng .\O co\Hin=को /\O URz1xNAUEd\Hin=उर्ज़्1क्स्नुएड 
2\O ,"\O RT\Hin=अर्त @\O NatkhatGujarati\Hin=नतखतगुजराती :\O Pic\Hin=पाइख 1:\O Zingaat\Eng from\Eng Sairat\Eng 
Pic\Eng 2:\O Zingaat\Eng from\Eng Dhadak\Hin=धड़क 
#\O ZingaatRuined\Hin=ज़िंगाट्रूईनड #\O SayNoToDhadak\Hin=सनोटोड़अड़क https\Eng ://\O t\Eng .\O co\Eng /\O sNlfEO2i00\Eng "\O 
3\O ,\O RT\Eng @\O TheRobustRascal\Eng :\O #\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O HTIxVaQUyX\Hin=ह्तिक्स्वक़ुय्क्स 
4\O ,"\O RT\Eng @\O swatic12\Eng :\O Audience\Eng searching\Eng for\Eng lyrics\Eng ,\O beats\Eng ,\O energy\Eng in\Eng Karan\Hin=करन johar\Hin=जोहर ’\O s\Eng zingaat\Hin=ज़िंगात in\Hin=इन hindi\Eng #\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O t2Ro40YzIm\Eng "\O 
5\O ,"\O RT\Eng @\O taparia\Hin=तपरिया _\O ruchika\Hin=रचिका :\O How\Hin=हो I\Eng insult\Eng my\Eng best\Hin=बेस्ट friend\Eng :\O 
Teri\Hin=तेरी shakal\Hin=शाकाल toh\Hin=तोह naye\Hin=नये wale\Hin=वाले zingaat\Hin=ज़िंगात se\Hin=सी bhi\Hin=भही buri\Hin=बुरी hai\Hin=हैं 
#\O zingaatRuined\Hin=ज़िंगाट्रूईनड #\O dhadak\Hin=धड़क "\O 
6\O ,#\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O kZrRw7eoCt\Hin=क्ज़्र्रव्7इओक्ट 
7,3\O mins\Eng of\Eng the\Eng remade\Eng Hindi\Hin=हिंदी #\O Zingaat\Hin=ज़िंगात &\O amp\Hin=अम्प ;\O I\Eng already\Eng have\Eng to\Eng watch\Eng the\Eng original\Eng one\Eng twice\Eng to\Eng undo\Eng what\Eng this\Eng one\Eng has\Eng done\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O buH2iD5eNw\Hin=बुह्2ईद्5Zएँव् 
8\O ,"\O RT\Hin=अर्त @\O i\Hin=इ _\O upasana\Hin=उपस्न :\O RT\Eng if\Eng you\Hin=यूं love\Hin=लव the\Eng Original\Eng and\Eng pure\Eng version\Eng of\Eng #\O Zingaat\Eng 
#\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O fufYoRLbX0\Hin=फुफ्यर्ल्ब्क्स्0 "\O 
9\O ,"\O RT\Eng @\O SmokingSkills\Eng _:\O Zingat\Eng from\Eng Sairat\Eng 
Zingat\Eng from\Eng Dhadhak\Hin=धढ़ाक 

#\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O uY8WMdaJmZ\Eng "\O 
10\O ,"\O Hey\Hin=है Hindi\Hin=हिंदी wale\Hin=वाले Zingaat\Hin=ज़िंगात ?\O 
Now\Hin=नो that's\Eng about\Eng right\Eng !\O 😂😂😂😂😂\O 
Loved\Eng the\Eng Marathi\Hin=मराठी one\Eng more\Eng ❤\O 
#\O Zingaat\Hin=ज़िंगात #\O Zingaathindi\Hin=ज़िंगातींदी …\O https\Eng ://\O t\Eng .\O co\Eng /\O wactGj2XT7\Eng "\O 
11\O ,\O RT\Eng @\O indiantweeter\Eng :\O Karan\Hin=करन Johar\Hin=जोहर has\Eng murdered\Eng a\Eng pure\Eng song\Eng .\O He\Eng should\Eng be\Eng jailed\Eng .\O #\O ZingaatRuined\Eng 
