,0\O 
0\O ,@\O Bhuvan\Hin=भुवन _\O Bam\Hin=बम mere\Hin=मेर nahi\Hin=नाही ....#\O Hamare\Hin=हमारे favourite\Eng sir\Hin=सिअर ki\Hin=की movie\Hin=मूवी ka\Hin=का triler\Hin=ट्रीलर bhuvan\Hin=भुवन bro\Hin=बरो 😍😍😍😍😍😍😍\O 
1\O ,"#\O Hamare\Hin=हमारे Dil\Hin=दिल Ki\Hin=की Umeedon\Hin=उमीदों Ka\Hin=का H0sla\Eng To\Hin=तू Dekho\Hin=देखो ,\O 

Aye\Eng D0sto\Eng '\O 

Yad\Hin=याद B\Hin=ब Un\Hin=उन Ko\Hin=को Karta\Hin=करता Hai\Hin=हैं Jin\Hin=जिन K\Hin=क Zehan\Hin=जहान Mein\Hin=मेइं Kbi\Hin=क्बी Hamara\Hin=हमारा Khayaal\Hin=खयाल Ta\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 0zpkuLXGW9\Eng "\O 
2\O ,"\O RT\Hin=अर्त @\O RAJKUMARHIRANI5\Hin=राजकुमढ़िरनि5 :\O #\O Hamare\Hin=हमारे Des\Hin=देश ki\Hin=की sabse\Hin=सबसे Badi\Hin=बड़ी Samasiya\Hin=समसिया Kya\Hin=क्या Hai\Hin=हैं ?\O 
ans\Hin=अँस .#\O Suraksha\Hin=सुरक्षा Bachho\Hin=बच्चो Ki\Hin=की "\O 
3\O ,"\O RT\Eng @\O DeviCha10252393\Eng :\O @\O Sudhainsan18\Eng @\O ImVicky\Eng _\O insan\Hin=इनसान #\O Khuda\Hin=खुदा kaise\Hin=किसे karoon\Hin=करूँ #\O shukriya\Hin=शुक्रिया iss\Hin=इश्स din\Hin=दिन ke\Hin=क liye\Hin=लिये ,!!!!!!\O 
tumhe\Hin=तुम्हे #\O dharti\Hin=धारती pe\Hin=पी bheja\Hin=भेजा #\O hamare\Hin=हमारे liye\Hin=लिये !…"\O 
4\O ,"#\O pyar\Hin=प्यार k\Hin=क Liye\Hin=लिये @\O Dil\Hin=दिल ,💕\O 
#\O Dil\Hin=दिल K\Hin=क Liye\Hin=लिये Aap\Hin=आअप् 
Aap\Hin=आअप् K\Hin=क #\O Liye\Hin=लिये Ham\Hin=हम 🙋…\O https\Eng ://\O t\Eng .\O co\Eng /\O oup0cUzeax\Eng "\O 
5\O ,#\O Hamare\Hin=हमारे Desh\Hin=देश ke\Hin=क Muslim\Eng s\Hin=स Ko\Hin=को #\O Indonesian\Eng Muslim\Eng s\Eng se\Hin=सी sikhna\Hin=सिखना chahiye\Hin=चाहिये jinhone\Hin=जिन्होन #\O Dharm\Hin=धर्म badlne\Hin=बद्लने ke\Hin=क bavjod\Hin=बव्जोड़ apne\Hin=अपने #\O ancestors\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O j9jyoUw5sS\Hin=ज्9ज्युव्5स 
6\O ,#\O hamare\Hin=हमारे to\Hin=तू abhi\Hin=अभी bhi\Hin=भही rh\Hin=र gye\Hin=ग्ये 😜😜😜😜😜😜😜\O 
7\O ,@\O ChouhanShivraj\Eng @\O BJP4MP\Eng Kahi\Hin=कही uss\Hin=उस party\Hin=पार्टी ko\Hin=को join\Hin=जाइन tho\Hin=तो nahi\Hin=नाही kar\Hin=कार rahe\Hin=रह hai\Hin=हैं jisse\Hin=जिससे abhi\Hin=अभी abhi\Hin=अभी manyata\Hin=मन्यता mili\Hin=मिली .#\O Hamare\Hin=हमारे padosi\Hin=पड़ोसी .\O 
8\O ,"@\O ImKashis\Hin=इम्कशिस उस\O चाँद\O 🔵\O को\O Bahut\Hin=बहुत #गुरुर\O 😎है....\O 
कि\O उ\O ske\Hin=स्क पास\O #नूर\O 🔮है...,\O 
मगर\O Wo\Hin=वो क्या\O #जाने\O 😏की......\O 
#\O Hamare\Hin=हमारे 💃हर…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O KxaYwkNVwf\Hin=क्क्साईव्क्zव्व्फ़ "\O 
9\O ,"#\O Hamare\Hin=हमारे ID\Hin=ईद Ko\Hin=को Follow\Hin=फॉलो Karne\Hin=करने Ka\Hin=का TariqaKar\Hin=तरीक़कर 
Type\Eng Mesg\Eng 

Follow\Eng Naghaz\Eng _\O Poetry\Eng 

Yeh\Hin=यह Msg\Eng Forward\Eng Karen\Hin=करें 40404\O Peh\Hin=पेह 
#\O Shukriya\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O dCla9q2eUs\Eng "\O 
10\O ,\O RT\Eng @\O GurnamGill10\Eng :\O #\O Hamare\Eng Desh\Hin=देश ke\Hin=क Muslim\Eng s\Hin=स Ko\Hin=को #\O Indonesian\Eng Muslim\Eng s\Eng se\Hin=सी sikhna\Hin=सिखना chahiye\Hin=चाहिये jinhone\Hin=जिन्होन #\O Dharm\Hin=धर्म badlne\Hin=बद्लने ke\Hin=क bavjod\Hin=बव्जोड़ apne\Hin=अपने #\O ancestors\Eng ke\Eng #\O cu\Hin=कू …\O 
11\O ,"#\O Hamare\Hin=हमारे ID\Hin=ईद Ko\Hin=को Follow\Hin=फॉलो Karne\Hin=करने Ka\Hin=का TariqaKar\Hin=तरीक़कर 
Type\Eng Mesg\Eng 

Follow\Eng Naghaz\Eng _\O Poetry\Eng 

Yeh\Hin=यह Msg\Eng Forward\Eng Karen\Hin=करें 40404\O Peh\Hin=पेह 
#\O Shukriya\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O PCPKaTwCrv\Eng "\O 
